Data,Local,Adversário,Resultado,Gols Cruzeiro,Gols Adversário,Público
2019-04-27,Fora,Flamengo,L,1,3,35016
2019-05-01,Casa,Ceará,W,1,0,22677
2019-05-05,Casa,Goiás,W,2,1,19735
2019-05-12,Fora,Internacional,L,1,3,21483
2019-05-18,Fora,Fluminense,L,1,4,11437
2019-05-26,Casa,Chapecoense,L,1,2,18039
2019-06-02,Fora,São Paulo,D,1,1,8517
2019-06-08,Casa,Corinthians,D,0,0,21370
2019-06-12,Fora,Fortaleza,L,1,2,17099
2019-07-14,Casa,Botafogo (RJ),D,0,0,18012
2019-07-20,Fora,Bahia,D,0,0,24864
2019-07-27,Casa,Ath Paranaense,L,0,2,20689
2019-08-04,Fora,Atlético Mineiro,L,0,2,13181
2019-08-11,Fora,Avaí,D,2,2,4921
2019-08-18,Casa,Santos,W,2,0,43604
2019-08-25,Fora,CSA,D,1,1,8715
2019-09-01,Casa,Vasco da Gama,W,1,0,26052
2019-09-08,Casa,Grêmio,L,1,4,14208
2019-09-14,Fora,Palmeiras,L,0,1,35578
2019-09-21,Casa,Flamengo,L,1,2,40333
2019-09-25,Fora,Ceará,D,0,0,18595
2019-09-30,Fora,Goiás,L,0,1,24142
2019-10-05,Casa,Internacional,D,1,1,22561
2019-10-09,Casa,Fluminense,D,0,0,38113
2019-10-13,Fora,Chapecoense,D,1,1,4399
2019-10-16,Casa,São Paulo,W,1,0,30969
2019-10-19,Fora,Corinthians,W,2,1,31631
2019-10-26,Casa,Fortaleza,D,1,1,32268
2019-10-31,Fora,Botafogo (RJ),W,2,0,20690
2019-11-03,Casa,Bahia,D,1,1,21933
2019-11-06,Fora,Ath Paranaense,D,0,0,11838
2019-11-10,Casa,Atlético Mineiro,D,0,0,43205
2019-11-18,Casa,Avaí,D,0,0,21217
2019-11-23,Fora,Santos,L,1,4,7905
2019-11-28,Casa,CSA,L,0,1,34920
2019-12-02,Fora,Vasco da Gama,L,0,1,19796
2019-12-05,Fora,Grêmio,L,0,2,18306
2019-12-08,Casa,Palmeiras,L,0,2,24035
